Name,Combined MPG,City MPG,Highway MPG,Weight (pounds),Displacement (liters),# Cylinders,Horsepower
HYUNDAI MOTOR COMPANY GENESIS,20,17,26,4500,4.6,8,385
HYUNDAI MOTOR COMPANY GENESIS,20,17,26,4500,5,8,429
HYUNDAI MOTOR COMPANY SONATA,26,22,34,3750,2,4,274
HYUNDAI MOTOR COMPANY SONATA,28,24,35,3500,2.4,4,190
HYUNDAI MOTOR COMPANY SONATA,28,24,35,3500,2.4,4,198
HYUNDAI MOTOR COMPANY VELOSTER,32,29,38,3000,1.6,4,138
HYUNDAI MOTOR COMPANY VELOSTER,32,28,40,3000,1.6,4,138
KIA MOTORS CORPORATION FORTE ECO,30,27,37,3125,2,4,154
KIA MOTORS CORPORATION FORTE KOUP,29,25,34,3125,2,4,156
KIA MOTORS CORPORATION FORTE KOUP,26,23,31,3250,2.4,4,173
KIA MOTORS CORPORATION FORTE KOUP,28,24,33,3125,2,4,156
KIA MOTORS CORPORATION FORTE,29,26,36,3125,2,4,154
KIA MOTORS CORPORATION FORTE,26,23,32,3250,2.4,4,173
KIA MOTORS CORPORATION FORTE,29,25,34,3125,2,4,156
KIA MOTORS CORPORATION FORTE,26,22,32,3250,2.4,4,173
KIA MOTORS CORPORATION OPTIMA,26,22,34,3750,2,4,274
KIA MOTORS CORPORATION OPTIMA,28,24,35,3750,2.4,4,166
KIA MOTORS CORPORATION OPTIMA,28,24,35,3500,2.4,4,200
KIA MOTORS CORPORATION RIO,33,30,40,2875,1.6,4,138
KIA MOTORS CORPORATION RIO,34,30,40,2750,1.6,4,138
KIA MOTORS CORPORATION RONDO,22,20,27,3750,2.4,4,175
KIA MOTORS CORPORATION RONDO,21,18,26,4000,2.7,6,192
KIA MOTORS CORPORATION SOUL ECO,32,29,36,3000,1.6,4,138
KIA MOTORS CORPORATION SOUL ECO,30,27,35,3250,2,4,164
KIA MOTORS CORPORATION SOUL,30,27,35,3000,1.6,4,138
KIA MOTORS CORPORATION SOUL,29,26,34,3250,2,4,164
KIA MOTORS CORPORATION SOUL,30,27,35,3000,1.6,4,138
KIA MOTORS CORPORATION SOUL,29,26,34,3125,2,4,164
MASERATI Granturismo Convertible,15,13,20,4750,4.7,8,434
MASERATI GRANTURISMO,15,13,21,4500,4.7,8,434
Mercedes-Benz C 250,25,21,31,3750,1.8,4,201
Mercedes-Benz C 350 (Coupe),22,19,28,4000,3.5,6,302
Mercedes-Benz C 350,23,20,29,4000,3.5,6,302
Mercedes-Benz C 63 AMG,15,13,19,4250,6.2,8,451
Mercedes-Benz CL 550 4MATIC,18,15,24,5000,4.7,8,429
Mercedes-Benz CL 600,14,12,18,5250,5.5,12,510
Mercedes-Benz CL 63 AMG,18,15,22,5250,5.5,8,536
Mercedes-Benz CL 65 AMG,14,12,18,5250,6,12,621
Mercedes-Benz CLS 550 4MATIC,19,16,25,4750,4.7,8,402
Mercedes-Benz CLS 550,20,17,25,4500,4.7,8,402
Mercedes-Benz CLS 63 AMG,19,16,25,4500,5.5,8,518
Mercedes-Benz E 350 (CONVERTIBLE),22,18,28,4250,3.5,6,302
Mercedes-Benz E 350 (coupe),22,19,28,4000,3.5,6,302
Mercedes-Benz S 350 BLUETEC 4MATIC,25,21,31,5000,3,6,240
Mercedes-Benz S 550 4MATIC,18,15,24,5250,4.7,8,429
Mercedes-Benz S 550,19,15,25,5000,4.7,8,429
Mercedes-Benz S 600,14,12,19,5250,5.5,12,510
Mercedes-Benz S 63 AMG,18,15,23,5250,5.5,8,536
Mercedes-Benz S 65 AMG,14,12,19,5500,6,12,621
Mercedes-Benz SL 63 AMG,14,12,19,4750,6.2,8,518
Mercedes-Benz SLK 350,23,20,29,3750,3.5,6,302
Mercedes-Benz SLS AMG,16,14,20,4000,6.2,8,563
Porsche Cayman S,23,20,29,3500,3.4,6,320
Porsche Cayman S,22,19,26,3500,3.4,6,320
Porsche Cayman,24,20,29,3500,2.9,6,265
Porsche Cayman,22,19,27,3375,2.9,6,265
Porsche Panamera 4S,19,16,24,4500,4.8,8,400
Porsche Panamera Turbo,18,15,23,4750,4.8,8,500
Porsche Panamera,21,18,27,4500,3.6,6,300
Rolls-Royce Motor Cars Limited Phantom,14,11,18,6000,6.7,12,453
Saab 9-3 SEDAN AWD,24,20,30,3875,2,4,220
Saab 9-3 SEDAN AWD,22,18,29,4000,2,4,220
Saab 9-3 SPORT SEDAN,25,20,33,3625,2,4,220
Saab 9-3 SPORT SEDAN,23,19,29,3750,2,4,220
Saab 9-5 SEDAN AWD,20,17,27,4500,2.8,6,300
Saab 9-5 SEDAN,25,20,33,4000,2,4,220
Saab 9-5 SEDAN,22,18,28,4250,2,4,220
Suzuki KIZASHI AWD,25,22,29,3750,2.4,4,185
MAZDA MAZDA2,30,28,34,2625,1.5,4,100
MAZDA MAZDA2,32,29,35,2625,1.5,4,100
MAZDA MAZDA3,28,25,33,3125,2,4,148
MAZDA MAZDA3,23,20,28,3375,2.5,4,165
MAZDA MAZDA3,27,24,33,3250,2,4,148
MAZDA MAZDA6,24,21,30,3625,2.5,4,170
MAZDA MAZDA6,25,22,31,3625,2.5,4,168
MAZDA MAZDASPEED3,21,18,25,3625,2.3,4,263
MAZDA MX-5,25,22,28,2750,2,4,167
SCION iQ,37,36,37,2375,1.3,4,94
LEXUS IS 250/IS 250C,22,19,28,4250,2.5,6,204
SCION tC,26,23,31,3375,2.5,4,180
TOYOTA YARIS,32,30,35,2625,1.5,4,106
TOYOTA YARIS,33,30,38,2625,1.5,4,106
Audi A8L,16,14,21,5000,6.3,12,500
Volkswagen BEETLE,25,22,29,3375,2.5,5,170
Volkswagen EOS,25,22,30,3500,2,4,200
Volkswagen GOLF,34,30,42,3500,2,4,140
Volkswagen Jetta,28,24,34,3625,2,4,140
Volkswagen Jetta,26,23,33,3500,2.5,5,170
Volkswagen Jetta,27,24,32,3250,2,4,115
Volkswagen Passat,35,31,43,3750,2,4,140
Volkswagen Passat,34,30,40,3750,2,4,140
Volkswagen Passat,23,20,28,3750,3.6,6,280
